Requirement ID,Category,Priority,Description,Test Cases,Test Level,HLD Section,Source Code,Verification Method,Status,Last Verified,Notes
FR-604,GDL90 Output,HIGH,"Transmit traffic reports for all tracked targets (ID 0x14, position, altitude, velocity, callsign, alert)",,,"4.6.4, 5.6","main/gen_gdl90.go",Test,Not Started,,
FR-605,GDL90 Output,HIGH,"Transmit FIS-B weather in GDL90 format (ID 0x63, segmentation, product type, timestamp)",,,"4.6.5, 5.6","main/gen_gdl90.go",Test,Not Started,,
FR-606,GDL90 Output,MEDIUM,"Support ForeFlight-specific extensions (ID 0x65, AHRS attitude, device capabilities)",,,"4.6.6, 5.6","main/gen_gdl90.go",Test,Not Started,,
FR-701,NMEA Output,MEDIUM,"Output GPS data in NMEA format ($GPRMC, $GPGGA, $GPGSA, $GPGSV, $PGRMZ)",,,"4.7.1, 5.7","main/gps.go",Test,Not Started,,NMEA 0183 compliance
FR-702,NMEA Output,MEDIUM,"Output traffic in FLARM NMEA format ($PFLAU, $PFLAA, prioritized, max 10/sec)",,,"4.7.2, 5.7","main/flarm-nmea.go",Test,Not Started,,
FR-801,Network Distribution,HIGH,"Broadcast GDL90 data via UDP (default port 4000, configurable, multicast optional)",,,"4.8.1, 5.8","main/network.go",Test,Not Started,,
FR-802,Network Distribution,MEDIUM,"Support TCP streaming of NMEA data (port 2000, multiple clients, auto cleanup)",,,"4.8.2, 5.8","main/network.go",Test,Not Started,,
FR-803,Network Distribution,MEDIUM,"Support serial output (configurable baud, GDL90/NMEA format, multiple devices, DTR/RTS)",,,"4.8.3, 5.8","main/network.go",Test,Not Started,,
FR-804,Network Distribution,LOW,"Optionally support Bluetooth LE output (GATT service, SoftRF/Stratux profile, NMEA/GDL90)",,,"4.8.4, 5.8","main/network.go",Test,Not Started,,
FR-805,Network Distribution,MEDIUM,"Detect sleeping/inactive clients (ICMP ping, message throttling, wake on alerts)",,,"4.8.5, 5.8","main/network.go",Test,Not Started,,
FR-901,Web Management Interface,HIGH,"Provide web-based status display (GPS, traffic count, weather count, towers, uptime, errors)",,,"4.9.1, 5.9","main/managementinterface.go",Inspection,Not Started,,
FR-902,Web Management Interface,HIGH,"Allow web-based configuration (GPS device, AHRS, region, network, ownship settings)",,,"4.9.2, 5.9","main/managementinterface.go",Test,Not Started,,
FR-903,Web Management Interface,MEDIUM,"Display live traffic graphically (2D radar, symbols, ownship center, range rings, heading)",,,"4.9.3, 5.9","main/managementinterface.go",Inspection,Not Started,,
FR-904,Web Management Interface,MEDIUM,"Display weather products (METAR text, TAF text, NEXRAD imagery, age indication)",,,"4.9.4, 5.9","main/managementinterface.go",Inspection,Not Started,,
FR-905,Web Management Interface,HIGH,"Provide diagnostic logging via web UI (log viewer, filtering, download, rotation)",,,"4.9.5, 5.9","main/managementinterface.go, main/logging.go",Test,Not Started,,
FR-1001,Data Logging,MEDIUM,"Log traffic and weather to SQLite database (messages, GPS track, rotation at 100MB, cleanup at 95%)",,,"4.10.1, 5.10","main/datalog.go",Test,Not Started,,
FR-1002,Data Logging,MEDIUM,"Support replay of logged data (--replay option, compressed, timestamped, playback rate)",,,"4.10.2, 5.10","main/datalog.go",Test,Not Started,,
FR-1003,Data Logging,LOW,"Log AHRS sensor data to CSV (timestamp, attitude, acceleration, angular rate, temp, pressure)",,,"4.10.3, 5.10","main/sensors.go",Test,Not Started,,
FR-1101,System Management,HIGH,"Support over-the-air software updates (web UI, CLI, verification, rollback, progress)",,,"4.11.1, 5.11","main/managementinterface.go",Test,Not Started,,
FR-1102,System Management,HIGH,"Persist configuration across reboots (stratux.conf, JSON, auto backup, factory reset)",,,"4.11.2, 5.11","main/gen_gdl90.go",Test,Not Started,,
FR-1103,System Management,CRITICAL,"Handle errors gracefully (tracking, LED indication, auto reconnection, watchdog, degradation)",,,"4.11.3, 5.11","main/*.go",Test,Not Started,,
FR-1104,System Management,HIGH,"Monitor system health (CPU temp, disk usage, memory, network, service status)",,,"4.11.4, 5.11","main/managementinterface.go",Test,Not Started,,
NFR-101,Performance,MEDIUM,"Boot and be operational within 120 seconds",,System,5.12,,Test,Not Started,,
NFR-102,Performance,HIGH,"Output messages with ≤ 100ms latency from reception",,System,5.12,,Test,Not Started,,
NFR-103,Performance,MEDIUM,"Support ≥ 5 simultaneous clients without degradation",,System,5.12,,Test,Not Started,,
NFR-104,Performance,HIGH,"Handle ≥ 500 ADS-B messages/second without loss",,System,5.12,,Test,Not Started,,
NFR-105,Performance,LOW,"Use ≤ 80% CPU under normal conditions",,System,5.12,,Test,Not Started,,
NFR-201,Reliability,HIGH,"Operate continuously for ≥ 8 hours without failure",,System,5.12,,Test,Not Started,,
NFR-202,Reliability,HIGH,"Recover from transient errors without user intervention",,System,5.12,,Test,Not Started,,
NFR-203,Reliability,CRITICAL,"Validate all received data before use",,,"All","main/*.go",Test,Not Started,,
NFR-204,Reliability,CRITICAL,"Fail to safe state (no data) rather than incorrect data",,,"All","main/*.go",Test,Not Started,,
NFR-301,Maintainability,MEDIUM,"Code SHALL be modular with clear interfaces",,,All,"main/*.go, common/*.go",Inspection,In Progress,,Ongoing improvement
NFR-302,Maintainability,HIGH,"All modules SHALL have documentation",,,All,"main/*.go, common/*.go, docs/*",Inspection,In Progress,,Partially complete
NFR-303,Maintainability,HIGH,"Log significant events with timestamps and severity",,,All,"main/*.go",Inspection,Partial,,Needs review
NFR-401,Portability,HIGH,"Run on Raspberry Pi 3B, 3B+, 4, 5, Zero 2 W",,System,,,Test,Not Started,,
NFR-402,Portability,HIGH,"Run on Debian Bookworm (ARM64)",,System,,,Test,Not Started,,
NFR-403,Portability,HIGH,"Fit on ≥ 4 GB microSD card (recommend 8 GB)",,System,,,Test,Not Started,,
NFR-501,Security,MEDIUM,"Web management interface SHALL support authentication (optional)",,,"4.9, 5.9","main/managementinterface.go",Test,Not Started,,
NFR-502,Security,CRITICAL,"All user inputs SHALL be validated before use",,,All,"main/*.go",Test,Not Started,,
NFR-503,Security,HIGH,"OTA updates SHALL be verified before installation",,,"4.11, 5.11","main/managementinterface.go",Test,Not Started,,
NFR-504,Security,HIGH,"WiFi passwords SHALL be stored encrypted or protected",,,5.11,"main/networksettings.go",Inspection,Not Started,,
